stop_id,stop_name,lat,lon,mode
10199,via gonin via m di lorenteggio,45.44093107068621,9.118749916249588,tram
10200,via gonin via m di lorenteggio,45.44106415462088,9.118842229210916,tram
10204,via gonin via giordani,45.44247836232636,9.12352391833325,tram
10205,via gonin via giordani,45.44268989368249,9.123834630280577,tram
10305,p.le cimitero maggiore,45.502928086261775,9.121392903812598,tram
10308,p.le cimitero maggiore,45.50328224643474,9.120652313236471,tram
10314,v.le certosa (cimitero  maggiore),45.5033675161857,9.12213519633695,tram
10323,roserio (ospedale sacco),45.51733729872277,9.119779662170174,tram
10335,s.cristoforo m4,45.44472580925469,9.13043234772966,tram
10336,s.cristoforo m4,45.44469925331765,9.130039087913772,tram
10341,via giambellino via odazio,45.446345038257185,9.135141804929578,tram
10342,via giambellino via odazio,45.44609357820742,9.134658486655628,tram
10448,v.le certosa via giorgini,45.5022351938719,9.12464314886684,tram
10449,v.le certosa via giorgini,45.50238433475264,9.12406747689934,tram
10450,v.le certosa via cormons,45.50135578100206,9.126303583859016,tram
10453,v.le certosa via cormons,45.50126529085,9.126738573580813,tram
10456,v.le certosa via gradisca,45.49967740681406,9.130051662632674,tram
10462,v.le certosa via gradisca,45.50014189166592,9.129225561781578,tram
10464,v.le certosa via tibullo,45.497971921524055,9.13378665576698,tram
10466,v.le certosa via tibullo,45.49815215520182,9.133603095242153,tram
10469,p.le cacciatori delle alpi,45.504359877914304,9.136924686914126,tram
10471,via grassi,45.513802251162446,9.125553821589817,tram
10472,via grassi,45.513808916895115,9.125705150226784,tram
10473,l.go boccioni,45.511592581787475,9.128058016148914,tram
10474,l.go boccioni,45.51156967762677,9.128272284063932,tram
10480,via mambretti,45.509306158805394,9.1320388193954,tram
10481,via palizzi via mambretti,45.50841398428451,9.13494234263048,tram
10519,p.le negrelli,45.444005911456685,9.139875736259691,tram
10523,via l. il moro via guintellino,45.444904712600525,9.142690695421347,tram
10524,via l. il moro via guintellino,45.44489179536145,9.1430231248203,tram
10525,p.le zavattari,45.475363227311576,9.143464630505292,rapid_bus
10529,via l. il moro cavalcavia don milani,45.44571833550687,9.147016407878256,tram
10530,via l. il moro cavalcavia don milani,45.445588610713,9.145870662441364,tram
10536,"via l. il moro, 25",45.44652811411695,9.150720448845703,tram
10537,"via l. il moro, 25",45.44642668693519,9.149707728710544,tram
10539,l.go gelsomini l.go giambellino,45.447654036140165,9.13944156311927,tram
10540,l.go gelsomini l.go giambellino,45.44761143459404,9.139100809261263,tram
10547,via brunelleschi,45.448967640847215,9.1435273343716,tram
10548,via giambellino via curio dentato,45.44869904326828,9.1423789446884,tram
10556,via brunelleschi,45.44933743459898,9.14438340362566,tram
10560,via giambellino via vignoli,45.4504966465041,9.147983117063587,tram
10561,via giambellino via vignoli,45.45051215949748,9.148355436740491,tram
10564,via giambellino via tolstoj,45.45126725805135,9.150649918150634,tram
10583,v.le bezzi via trivulzio,45.46559327845103,9.14650510945873,rapid_bus
10586,p.za ghirlandaio,45.46636448193271,9.146282887047278,rapid_bus
10589,v.le bezzi via marostica,45.46275134817444,9.14814301191352,rapid_bus
10594,p.le tripoli,45.459823760268414,9.149874852854396,rapid_bus
10595,p.le tripoli,45.460809923385014,9.14945377136761,rapid_bus
10596,v.le bezzi via marostica,45.46337273303912,9.147900004488417,rapid_bus
10597,v.le misurata,45.45754031472893,9.151155796170656,rapid_bus
10612,p.za m.te falterona,45.47452216413171,9.139797338073892,tram
10613,segesta m5,45.475385655529685,9.137824001744072,tram
10618,p.za m.te falterona,45.47367399634515,9.141083961217277,tram
10619,via dolci via ricciarelli,45.47243722722715,9.142533079854358,tram
10621,via dolci via ricciarelli,45.472254005211894,9.142964222672116,tram
10622,v.le murillo via ricciarelli,45.47340490446914,9.143945824082282,rapid_bus
10624,p.le brescia,45.46961848760592,9.145127517717643,rapid_bus
10625,p.le brescia,45.46977590346112,9.14520787464786,rapid_bus
10626,p.le brescia (osp. san luca),45.47185159490355,9.144450404459024,rapid_bus
10627,p.le brescia (osp. san luca),45.471995529885426,9.144514736912162,rapid_bus
10628,p.za ghirlandaio,45.467187260051155,9.145877622334249,rapid_bus
10629,p.le brescia (osp. san luca),45.46979287228503,9.146020249809837,tram
10630,p.le brescia (osp. san luca),45.47004057465215,9.1458833666212,tram
10632,via faruffini via correggio,45.46832619524192,9.147967398578702,tram
10633,de angeli m1,45.46702933726272,9.149678038918356,tram
10634,via faruffini via correggio,45.46819674218928,9.148315547500198,tram
10635,de angeli m1,45.4671102855096,9.149724623738528,tram
10644,lotto m1 m5,45.47968472345449,9.142651902269217,rapid_bus
10650,p.le zavattari,45.47670976065077,9.142757961820864,rapid_bus
10653,lotto m1 m5,45.4801070302055,9.143244732288355,rapid_bus
10654,p.za stuparich,45.48215138081276,9.14327394333496,rapid_bus
10655,p.za stuparich,45.48255574887915,9.142886250985732,rapid_bus
10657,v.le serra v.le scarampo,45.48493555295474,9.14365201857584,rapid_bus
10662,v.le serra v.le scarampo,45.48479119810849,9.143921968449412,rapid_bus
10675,v.le certosa via casella,45.49438903812054,9.14168267685893,tram
10678,v.le certosa via casella,45.49458732203127,9.141470402197053,tram
10680,p.le accursio,45.493127125451295,9.144429751904152,tram
10682,v.le espinasse via casella,45.495431038887475,9.143379475653012,tram
10683,v.le espinasse via casella,45.4956148414301,9.143420460958136,tram
10685,v.le espinasse p.le accursio,45.49413384309295,9.144484062115133,tram
10686,v.le espinasse p.le accursio,45.49354369052311,9.144686492689354,tram
10688,v.le certosa via grosotto,45.49162709922448,9.14797855700613,tram
10689,v.le certosa via grosotto,45.491702126377994,9.147570996411568,tram
10692,v.le serra via traiano,45.4881872567112,9.148860559305064,rapid_bus
10693,v.le serra via traiano,45.48895156663791,9.14945442749872,rapid_bus
10694,v.le certosa v.le serra,45.490113896018045,9.151055048943078,tram
10697,v.le certosa via giannini,45.496175717361865,9.138009149774264,tram
10698,v.le certosa via giannini,45.49629332246284,9.137516689327397,tram
10699,v.le espinasse via palizzi,45.50300735563,9.13808820069383,tram
10701,p.le santorre di santarosa,45.50093987967356,9.13953592219592,tram
10703,v.le espinasse via palizzi,45.50280677283159,9.138688471407011,tram
10705,p.le santorre di santarosa,45.50030460239752,9.140116735505783,tram
10707,v.le espinasse via nuvolone,45.49785873372144,9.141827346750706,tram
10708,v.le espinasse via nuvolone,45.49800755812345,9.141578138742169,tram
10713,via c. marcello via m.te altissimo,45.50215081376329,9.143599447614204,tram
10716,via c. marcello (villapizzone),45.50091379674572,9.14595294733107,tram
10717,via c. marcello (villapizzone),45.501053136794226,9.145892431139911,tram
10720,p.za castelli,45.499239432710944,9.149644772346178,tram
10721,via c. marcello via ferrario,45.50007090516614,9.147676733236112,tram
10722,via c. marcello via ferrario,45.50000881182953,9.148000999343315,tram
10723,p.za castelli,45.49897793033472,9.150041561357009,tram
10724,p.za castelli,45.499100873388024,9.150686649891394,tram
10725,certosa,45.50780271006252,9.137223460560156,tram
10727,certosa,45.507971392919366,9.137091542694725,tram
