stop_id,stop_name,lat,lon
19621,p.za ovidio,45.45705895128326,9.241831675191715
10199,via gonin via m di lorenteggio,45.44093107068621,9.118749916249588
10200,via gonin via m di lorenteggio,45.44106415462088,9.118842229210916
10204,via gonin via giordani,45.44247836232636,9.12352391833325
10205,via gonin via giordani,45.44268989368249,9.123834630280577
10305,p.le cimitero maggiore,45.502928086261775,9.121392903812598
10308,p.le cimitero maggiore,45.50328224643474,9.120652313236471
10314,v.le certosa (cimitero  maggiore),45.5033675161857,9.12213519633695
10323,roserio (ospedale sacco),45.51733729872277,9.119779662170174
10335,s.cristoforo m4,45.44472580925469,9.13043234772966
10336,s.cristoforo m4,45.44469925331765,9.130039087913772
10341,via giambellino via odazio,45.446345038257185,9.135141804929578
10342,via giambellino via odazio,45.44609357820742,9.134658486655628
10448,v.le certosa via giorgini,45.5022351938719,9.12464314886684
10449,v.le certosa via giorgini,45.50238433475264,9.12406747689934
10450,v.le certosa via cormons,45.50135578100206,9.126303583859016
10453,v.le certosa via cormons,45.50126529085,9.126738573580813
10456,v.le certosa via gradisca,45.49967740681406,9.130051662632674
10462,v.le certosa via gradisca,45.50014189166592,9.129225561781578
10464,v.le certosa via tibullo,45.497971921524055,9.13378665576698
10466,v.le certosa via tibullo,45.49815215520182,9.133603095242153
10469,p.le cacciatori delle alpi,45.504359877914304,9.136924686914126
10471,via grassi,45.513802251162446,9.125553821589817
10472,via grassi,45.513808916895115,9.125705150226784
10473,l.go boccioni,45.511592581787475,9.128058016148914
10474,l.go boccioni,45.51156967762677,9.128272284063932
10480,via mambretti,45.509306158805394,9.1320388193954
10481,via palizzi via mambretti,45.50841398428451,9.13494234263048
10519,p.le negrelli,45.444005911456685,9.139875736259691
10523,via l. il moro via guintellino,45.444904712600525,9.142690695421347
10524,via l. il moro via guintellino,45.44489179536145,9.1430231248203
10529,via l. il moro cavalcavia don milani,45.44571833550687,9.147016407878256
10530,via l. il moro cavalcavia don milani,45.445588610713,9.145870662441364
10536,"via l. il moro, 25",45.44652811411695,9.150720448845703
10537,"via l. il moro, 25",45.44642668693519,9.149707728710544
10539,l.go gelsomini l.go giambellino,45.447654036140165,9.13944156311927
10540,l.go gelsomini l.go giambellino,45.44761143459404,9.139100809261263
10547,via brunelleschi,45.448967640847215,9.1435273343716
10548,via giambellino via curio dentato,45.44869904326828,9.1423789446884
10556,via brunelleschi,45.44933743459898,9.14438340362566
10560,via giambellino via vignoli,45.4504966465041,9.147983117063587
10561,via giambellino via vignoli,45.45051215949748,9.148355436740491
10564,via giambellino via tolstoj,45.45126725805135,9.150649918150634
10612,p.za m.te falterona,45.47452216413171,9.139797338073892
10613,segesta m5,45.475385655529685,9.137824001744072
10618,p.za m.te falterona,45.47367399634515,9.141083961217277
10619,via dolci via ricciarelli,45.47243722722715,9.142533079854358
10621,via dolci via ricciarelli,45.472254005211894,9.142964222672116
10629,p.le brescia (osp. san luca),45.46979287228503,9.146020249809837
10630,p.le brescia (osp. san luca),45.47004057465215,9.1458833666212
10632,via faruffini via correggio,45.46832619524192,9.147967398578702
10633,de angeli m1,45.46702933726272,9.149678038918356
10634,via faruffini via correggio,45.46819674218928,9.148315547500198
10635,de angeli m1,45.4671102855096,9.149724623738528
10675,v.le certosa via casella,45.49438903812054,9.14168267685893
10678,v.le certosa via casella,45.49458732203127,9.141470402197053
10680,p.le accursio,45.493127125451295,9.144429751904152
10682,v.le espinasse via casella,45.495431038887475,9.143379475653012
10683,v.le espinasse via casella,45.4956148414301,9.143420460958136
10685,v.le espinasse p.le accursio,45.49413384309295,9.144484062115133
10686,v.le espinasse p.le accursio,45.49354369052311,9.144686492689354
10688,v.le certosa via grosotto,45.49162709922448,9.14797855700613
10689,v.le certosa via grosotto,45.491702126377994,9.147570996411568
10694,v.le certosa v.le serra,45.490113896018045,9.151055048943078
10697,v.le certosa via giannini,45.496175717361865,9.138009149774264
10698,v.le certosa via giannini,45.49629332246284,9.137516689327397
10699,v.le espinasse via palizzi,45.50300735563,9.13808820069383
10701,p.le santorre di santarosa,45.50093987967356,9.13953592219592
10703,v.le espinasse via palizzi,45.50280677283159,9.138688471407011
10705,p.le santorre di santarosa,45.50030460239752,9.140116735505783
10707,v.le espinasse via nuvolone,45.49785873372144,9.141827346750706
10708,v.le espinasse via nuvolone,45.49800755812345,9.141578138742169
10713,via c. marcello via m.te altissimo,45.50215081376329,9.143599447614204
10716,via c. marcello (villapizzone),45.50091379674572,9.14595294733107
10717,via c. marcello (villapizzone),45.501053136794226,9.145892431139911
10720,p.za castelli,45.499239432710944,9.149644772346178
